"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2_2 - extra_val_metric_0","random_no2_2 - extra_val_metric_0__MIN","random_no2_2 - extra_val_metric_0__MAX","random_no2_2 - mean_absolute_percentage_error","random_no2_2 - mean_absolute_percentage_error__MIN","random_no2_2 - mean_absolute_percentage_error__MAX"
"168","28.540517807006836","28.540517807006836","28.540517807006836","","","","32.86881637573242","32.86881637573242","32.86881637573242","","","","35.625099182128906","35.625099182128906","35.625099182128906","","",""
"170","","","","41.29377365112305","41.29377365112305","41.29377365112305","","","","36.49148941040039","36.49148941040039","36.49148941040039","","","","26.899137496948242","26.899137496948242","26.899137496948242"
"173","24.31882667541504","24.31882667541504","24.31882667541504","","","","31.322336196899414","31.322336196899414","31.322336196899414","","","","29.758161544799805","29.758161544799805","29.758161544799805","","",""
"175","","","","41.20398712158203","41.20398712158203","41.20398712158203","","","","35.45664596557617","35.45664596557617","35.45664596557617","","","","26.8616886138916","26.8616886138916","26.8616886138916"
"178","27.292917251586914","27.292917251586914","27.292917251586914","","","","29.807363510131836","29.807363510131836","29.807363510131836","","","","34.41983413696289","34.41983413696289","34.41983413696289","","",""
"180","","","","41.22314453125","41.22314453125","41.22314453125","","","","36.276859283447266","36.276859283447266","36.276859283447266","","","","26.512489318847656","26.512489318847656","26.512489318847656"
"183","25.93680763244629","25.93680763244629","25.93680763244629","","","","25.44932746887207","25.44932746887207","25.44932746887207","","","","34.20399475097656","34.20399475097656","34.20399475097656","","",""
"185","","","","41.356563568115234","41.356563568115234","41.356563568115234","","","","35.54677963256836","35.54677963256836","35.54677963256836","","","","27.03715705871582","27.03715705871582","27.03715705871582"
"188","25.74155616760254","25.74155616760254","25.74155616760254","","","","33.54167175292969","33.54167175292969","33.54167175292969","","","","35.40925979614258","35.40925979614258","35.40925979614258","","",""
"190","","","","41.11276626586914","41.11276626586914","41.11276626586914","","","","36.48816680908203","36.48816680908203","36.48816680908203","","","","26.587142944335938","26.587142944335938","26.587142944335938"
"193","25.521060943603516","25.521060943603516","25.521060943603516","","","","28.99847412109375","28.99847412109375","28.99847412109375","","","","33.63374710083008","33.63374710083008","33.63374710083008","","",""
