"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - mean_absolute_percentage_error","random_no2 - mean_absolute_percentage_error__MIN","random_no2 - mean_absolute_percentage_error__MAX"
"160","","","","41.94763946533203","41.94763946533203","41.94763946533203","","","","31.272418975830078","31.272418975830078","31.272418975830078","","","","27.4237060546875","27.4237060546875","27.4237060546875"
"163","26.803186416625977","26.803186416625977","26.803186416625977","","","","31.93410301208496","31.93410301208496","31.93410301208496","","","","32.87141799926758","32.87141799926758","32.87141799926758","","",""
"165","","","","41.10483169555664","41.10483169555664","41.10483169555664","","","","31.384004592895508","31.384004592895508","31.384004592895508","","","","26.585773468017578","26.585773468017578","26.585773468017578"
"168","28.540517807006836","28.540517807006836","28.540517807006836","","","","33.65730667114258","33.65730667114258","33.65730667114258","","","","35.625099182128906","35.625099182128906","35.625099182128906","","",""
"170","","","","41.29377365112305","41.29377365112305","41.29377365112305","","","","31.17678451538086","31.17678451538086","31.17678451538086","","","","26.899137496948242","26.899137496948242","26.899137496948242"
"173","24.31882667541504","24.31882667541504","24.31882667541504","","","","37.640140533447266","37.640140533447266","37.640140533447266","","","","29.758161544799805","29.758161544799805","29.758161544799805","","",""
"175","","","","41.20398712158203","41.20398712158203","41.20398712158203","","","","30.84065818786621","30.84065818786621","30.84065818786621","","","","26.8616886138916","26.8616886138916","26.8616886138916"
"178","27.292917251586914","27.292917251586914","27.292917251586914","","","","31.90744972229004","31.90744972229004","31.90744972229004","","","","34.41983413696289","34.41983413696289","34.41983413696289","","",""
"180","","","","41.22314453125","41.22314453125","41.22314453125","","","","31.001428604125977","31.001428604125977","31.001428604125977","","","","26.512489318847656","26.512489318847656","26.512489318847656"
"183","25.93680763244629","25.93680763244629","25.93680763244629","","","","36.58367156982422","36.58367156982422","36.58367156982422","","","","34.20399475097656","34.20399475097656","34.20399475097656","","",""
"185","","","","41.356563568115234","41.356563568115234","41.356563568115234","","","","30.72602653503418","30.72602653503418","30.72602653503418","","","","27.03715705871582","27.03715705871582","27.03715705871582"
"188","25.74155616760254","25.74155616760254","25.74155616760254","","","","31.690086364746094","31.690086364746094","31.690086364746094","","","","35.40925979614258","35.40925979614258","35.40925979614258","","",""
"190","","","","41.11276626586914","41.11276626586914","41.11276626586914","","","","30.51372718811035","30.51372718811035","30.51372718811035","","","","26.587142944335938","26.587142944335938","26.587142944335938"
"193","25.521060943603516","25.521060943603516","25.521060943603516","","","","32.154945373535156","32.154945373535156","32.154945373535156","","","","33.63374710083008","33.63374710083008","33.63374710083008","","",""
"195","","","","41.084346771240234","41.084346771240234","41.084346771240234","","","","30.63776397705078","30.63776397705078","30.63776397705078","","","","26.92888069152832","26.92888069152832","26.92888069152832"
"198","25.444303512573242","25.444303512573242","25.444303512573242","","","","31.359375","31.359375","31.359375","","","","35.58636474609375","35.58636474609375","35.58636474609375","","",""
"200","","","","41.53257369995117","41.53257369995117","41.53257369995117","","","","30.651586532592773","30.651586532592773","30.651586532592773","","","","26.749540328979492","26.749540328979492","26.749540328979492"
"203","26.51302146911621","26.51302146911621","26.51302146911621","","","","29.269649505615234","29.269649505615234","29.269649505615234","","","","27.881059646606445","27.881059646606445","27.881059646606445","","",""
"205","","","","40.82320785522461","40.82320785522461","40.82320785522461","","","","30.771072387695312","30.771072387695312","30.771072387695312","","","","26.237060546875","26.237060546875","26.237060546875"
"208","25.06390380859375","25.06390380859375","25.06390380859375","","","","34.08650207519531","34.08650207519531","34.08650207519531","","","","34.912899017333984","34.912899017333984","34.912899017333984","","",""
"210","","","","41.0369758605957","41.0369758605957","41.0369758605957","","","","30.23366355895996","30.23366355895996","30.23366355895996","","","","26.223434448242188","26.223434448242188","26.223434448242188"
"213","25.324106216430664","25.324106216430664","25.324106216430664","","","","33.67820358276367","33.67820358276367","33.67820358276367","","","","45.690582275390625","45.690582275390625","45.690582275390625","","",""
