"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - val_mean_absolute_percentage_error","random_None - val_mean_absolute_percentage_error__MIN","random_None - val_mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - val_mean_absolute_percentage_error","random_seg - val_mean_absolute_percentage_error__MIN","random_seg - val_mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - val_mean_absolute_percentage_error","random_no2 - val_mean_absolute_percentage_error__MIN","random_no2 - val_mean_absolute_percentage_error__MAX"
"153","25.452957153320312","25.452957153320312","25.452957153320312","","","","29.400753021240234","29.400753021240234","29.400753021240234","","","","31.782169342041016","31.782169342041016","31.782169342041016","","",""
"155","","","","40.69380187988281","40.69380187988281","40.69380187988281","","","","31.02507781982422","31.02507781982422","31.02507781982422","","","","33.84587860107422","33.84587860107422","33.84587860107422"
"158","24.337583541870117","24.337583541870117","24.337583541870117","","","","28.029296875","28.029296875","28.029296875","","","","32.53598403930664","32.53598403930664","32.53598403930664","","",""
"160","","","","37.79328918457031","37.79328918457031","37.79328918457031","","","","36.24881362915039","36.24881362915039","36.24881362915039","","","","29.963876724243164","29.963876724243164","29.963876724243164"
"163","26.803186416625977","26.803186416625977","26.803186416625977","","","","31.93410301208496","31.93410301208496","31.93410301208496","","","","32.87141799926758","32.87141799926758","32.87141799926758","","",""
"165","","","","34.8194694519043","34.8194694519043","34.8194694519043","","","","32.978904724121094","32.978904724121094","32.978904724121094","","","","29.377737045288086","29.377737045288086","29.377737045288086"
"168","28.540517807006836","28.540517807006836","28.540517807006836","","","","33.65730667114258","33.65730667114258","33.65730667114258","","","","35.625099182128906","35.625099182128906","35.625099182128906","","",""
"170","","","","39.35013961791992","39.35013961791992","39.35013961791992","","","","37.655391693115234","37.655391693115234","37.655391693115234","","","","27.93540382385254","27.93540382385254","27.93540382385254"
"173","24.31882667541504","24.31882667541504","24.31882667541504","","","","37.640140533447266","37.640140533447266","37.640140533447266","","","","29.758161544799805","29.758161544799805","29.758161544799805","","",""
"175","","","","31.93087387084961","31.93087387084961","31.93087387084961","","","","37.2756233215332","37.2756233215332","37.2756233215332","","","","31.19985580444336","31.19985580444336","31.19985580444336"
"178","27.292917251586914","27.292917251586914","27.292917251586914","","","","31.90744972229004","31.90744972229004","31.90744972229004","","","","34.41983413696289","34.41983413696289","34.41983413696289","","",""
"180","","","","40.666080474853516","40.666080474853516","40.666080474853516","","","","39.19605255126953","39.19605255126953","39.19605255126953","","","","33.00309753417969","33.00309753417969","33.00309753417969"
"183","25.93680763244629","25.93680763244629","25.93680763244629","","","","36.58367156982422","36.58367156982422","36.58367156982422","","","","34.20399475097656","34.20399475097656","34.20399475097656","","",""
"185","","","","43.41130447387695","43.41130447387695","43.41130447387695","","","","36.74509811401367","36.74509811401367","36.74509811401367","","","","32.24141311645508","32.24141311645508","32.24141311645508"
"188","25.74155616760254","25.74155616760254","25.74155616760254","","","","31.690086364746094","31.690086364746094","31.690086364746094","","","","35.40925979614258","35.40925979614258","35.40925979614258","","",""
"190","","","","33.01695251464844","33.01695251464844","33.01695251464844","","","","34.78874206542969","34.78874206542969","34.78874206542969","","","","27.227813720703125","27.227813720703125","27.227813720703125"
"193","25.521060943603516","25.521060943603516","25.521060943603516","","","","32.154945373535156","32.154945373535156","32.154945373535156","","","","33.63374710083008","33.63374710083008","33.63374710083008","","",""
"195","","","","35.89474105834961","35.89474105834961","35.89474105834961","","","","35.253135681152344","35.253135681152344","35.253135681152344","","","","29.937442779541016","29.937442779541016","29.937442779541016"
"198","25.444303512573242","25.444303512573242","25.444303512573242","","","","31.359375","31.359375","31.359375","","","","35.58636474609375","35.58636474609375","35.58636474609375","","",""
"200","","","","34.88717269897461","34.88717269897461","34.88717269897461","","","","37.249420166015625","37.249420166015625","37.249420166015625","","","","32.18038558959961","32.18038558959961","32.18038558959961"
"203","26.51302146911621","26.51302146911621","26.51302146911621","","","","29.269649505615234","29.269649505615234","29.269649505615234","","","","27.881059646606445","27.881059646606445","27.881059646606445","","",""
"205","","","","38.18503952026367","38.18503952026367","38.18503952026367","","","","35.26856994628906","35.26856994628906","35.26856994628906","","","","29.806888580322266","29.806888580322266","29.806888580322266"
"208","25.06390380859375","25.06390380859375","25.06390380859375","","","","34.08650207519531","34.08650207519531","34.08650207519531","","","","34.912899017333984","34.912899017333984","34.912899017333984","","",""
"210","","","","38.731021881103516","38.731021881103516","38.731021881103516","","","","37.141380310058594","37.141380310058594","37.141380310058594","","","","36.50883102416992","36.50883102416992","36.50883102416992"
"213","25.324106216430664","25.324106216430664","25.324106216430664","","","","33.67820358276367","33.67820358276367","33.67820358276367","","","","45.690582275390625","45.690582275390625","45.690582275390625","","",""
"215","","","","39.364952087402344","39.364952087402344","39.364952087402344","","","","38.73987579345703","38.73987579345703","38.73987579345703","","","","33.561614990234375","33.561614990234375","33.561614990234375"
"218","26.101083755493164","26.101083755493164","26.101083755493164","","","","27.653400421142578","27.653400421142578","27.653400421142578","","","","36.681697845458984","36.681697845458984","36.681697845458984","","",""
"220","","","","38.485145568847656","38.485145568847656","38.485145568847656","","","","33.50270080566406","33.50270080566406","33.50270080566406","","","","29.34893798828125","29.34893798828125","29.34893798828125"
"223","26.373226165771484","26.373226165771484","26.373226165771484","","","","27.748903274536133","27.748903274536133","27.748903274536133","","","","35.53139114379883","35.53139114379883","35.53139114379883","","",""
"225","","","","36.22760772705078","36.22760772705078","36.22760772705078","","","","37.078128814697266","37.078128814697266","37.078128814697266","","","","27.591720581054688","27.591720581054688","27.591720581054688"
"228","26.11777114868164","26.11777114868164","26.11777114868164","","","","35.833465576171875","35.833465576171875","35.833465576171875","","","","31.783945083618164","31.783945083618164","31.783945083618164","","",""
"230","","","","33.86247253417969","33.86247253417969","33.86247253417969","","","","32.50529479980469","32.50529479980469","32.50529479980469","","","","29.28559684753418","29.28559684753418","29.28559684753418"
"233","30.047746658325195","30.047746658325195","30.047746658325195","","","","27.725753784179688","27.725753784179688","27.725753784179688","","","","32.765628814697266","32.765628814697266","32.765628814697266","","",""
"235","","","","35.9643669128418","35.9643669128418","35.9643669128418","","","","39.29166793823242","39.29166793823242","39.29166793823242","","","","30.22694206237793","30.22694206237793","30.22694206237793"
"238","26.256349563598633","26.256349563598633","26.256349563598633","","","","33.989112854003906","33.989112854003906","33.989112854003906","","","","39.25999450683594","39.25999450683594","39.25999450683594","","",""
"240","","","","41.07280731201172","41.07280731201172","41.07280731201172","","","","32.95361328125","32.95361328125","32.95361328125","","","","28.224882125854492","28.224882125854492","28.224882125854492"
"243","27.75499725341797","27.75499725341797","27.75499725341797","","","","33.06217956542969","33.06217956542969","33.06217956542969","","","","38.94983673095703","38.94983673095703","38.94983673095703","","",""
"245","","","","35.41109085083008","35.41109085083008","35.41109085083008","","","","39.49864196777344","39.49864196777344","39.49864196777344","","","","29.116615295410156","29.116615295410156","29.116615295410156"
"248","28.989824295043945","28.989824295043945","28.989824295043945","","","","26.836339950561523","26.836339950561523","26.836339950561523","","","","36.866580963134766","36.866580963134766","36.866580963134766","","",""
"250","","","","33.59958267211914","33.59958267211914","33.59958267211914","","","","32.66850662231445","32.66850662231445","32.66850662231445","","","","29.07463264465332","29.07463264465332","29.07463264465332"
"253","29.549055099487305","29.549055099487305","29.549055099487305","","","","32.15773391723633","32.15773391723633","32.15773391723633","","","","34.97158432006836","34.97158432006836","34.97158432006836","","",""
"255","","","","40.21123123168945","40.21123123168945","40.21123123168945","","","","37.4685173034668","37.4685173034668","37.4685173034668","","","","31.46116828918457","31.46116828918457","31.46116828918457"
"258","25.988948822021484","25.988948822021484","25.988948822021484","","","","30.80080795288086","30.80080795288086","30.80080795288086","","","","36.30442810058594","36.30442810058594","36.30442810058594","","",""
"260","","","","38.83802795410156","38.83802795410156","38.83802795410156","","","","33.82569885253906","33.82569885253906","33.82569885253906","","","","30.49477195739746","30.49477195739746","30.49477195739746"
"263","23.449798583984375","23.449798583984375","23.449798583984375","","","","31.14577865600586","31.14577865600586","31.14577865600586","","","","40.92457962036133","40.92457962036133","40.92457962036133","","",""
"265","","","","38.55760955810547","38.55760955810547","38.55760955810547","","","","32.750831604003906","32.750831604003906","32.750831604003906","","","","28.828840255737305","28.828840255737305","28.828840255737305"
"268","24.49500274658203","24.49500274658203","24.49500274658203","","","","30.74954605102539","30.74954605102539","30.74954605102539","","","","30.171478271484375","30.171478271484375","30.171478271484375","","",""
"270","","","","44.349334716796875","44.349334716796875","44.349334716796875","","","","33.55681610107422","33.55681610107422","33.55681610107422","","","","29.92244529724121","29.92244529724121","29.92244529724121"
"273","26.839393615722656","26.839393615722656","26.839393615722656","","","","31.41952133178711","31.41952133178711","31.41952133178711","","","","34.692176818847656","34.692176818847656","34.692176818847656","","",""
"275","","","","42.50106430053711","42.50106430053711","42.50106430053711","","","","32.739288330078125","32.739288330078125","32.739288330078125","","","","29.019508361816406","29.019508361816406","29.019508361816406"
"278","28.207225799560547","28.207225799560547","28.207225799560547","","","","30.41405487060547","30.41405487060547","30.41405487060547","","","","33.64876174926758","33.64876174926758","33.64876174926758","","",""
"280","","","","43.0239143371582","43.0239143371582","43.0239143371582","","","","33.009117126464844","33.009117126464844","33.009117126464844","","","","28.72897720336914","28.72897720336914","28.72897720336914"
"283","25.844926834106445","25.844926834106445","25.844926834106445","","","","29.68463897705078","29.68463897705078","29.68463897705078","","","","34.037010192871094","34.037010192871094","34.037010192871094","","",""
"285","","","","36.37355041503906","36.37355041503906","36.37355041503906","","","","34.909454345703125","34.909454345703125","34.909454345703125","","","","29.375627517700195","29.375627517700195","29.375627517700195"
"288","26.123247146606445","26.123247146606445","26.123247146606445","","","","33.90217590332031","33.90217590332031","33.90217590332031","","","","37.13029098510742","37.13029098510742","37.13029098510742","","",""
"290","","","","34.01655578613281","34.01655578613281","34.01655578613281","","","","32.885921478271484","32.885921478271484","32.885921478271484","","","","30.497636795043945","30.497636795043945","30.497636795043945"
"293","26.16368865966797","26.16368865966797","26.16368865966797","","","","29.32463836669922","29.32463836669922","29.32463836669922","","","","29.79512596130371","29.79512596130371","29.79512596130371","","",""
"295","","","","41.55299377441406","41.55299377441406","41.55299377441406","","","","35.427921295166016","35.427921295166016","35.427921295166016","","","","30.211137771606445","30.211137771606445","30.211137771606445"
"298","24.946895599365234","24.946895599365234","24.946895599365234","","","","33.57670593261719","33.57670593261719","33.57670593261719","","","","34.04887390136719","34.04887390136719","34.04887390136719","","",""
"300","","","","41.30859375","41.30859375","41.30859375","","","","36.11177062988281","36.11177062988281","36.11177062988281","","","","30.818389892578125","30.818389892578125","30.818389892578125"
"303","25.682373046875","25.682373046875","25.682373046875","","","","33.82826232910156","33.82826232910156","33.82826232910156","","","","40.4736442565918","40.4736442565918","40.4736442565918","","",""
"305","","","","36.17669677734375","36.17669677734375","36.17669677734375","","","","31.989444732666016","31.989444732666016","31.989444732666016","","","","28.651611328125","28.651611328125","28.651611328125"
"308","26.0013484954834","26.0013484954834","26.0013484954834","","","","29.29132080078125","29.29132080078125","29.29132080078125","","","","34.181819915771484","34.181819915771484","34.181819915771484","","",""
"310","","","","34.823753356933594","34.823753356933594","34.823753356933594","","","","34.837364196777344","34.837364196777344","34.837364196777344","","","","28.992923736572266","28.992923736572266","28.992923736572266"
"313","24.265586853027344","24.265586853027344","24.265586853027344","","","","29.52136993408203","29.52136993408203","29.52136993408203","","","","38.22776412963867","38.22776412963867","38.22776412963867","","",""
"315","","","","37.64448547363281","37.64448547363281","37.64448547363281","","","","35.289615631103516","35.289615631103516","35.289615631103516","","","","26.418062210083008","26.418062210083008","26.418062210083008"
"318","26.12975311279297","26.12975311279297","26.12975311279297","","","","32.84193420410156","32.84193420410156","32.84193420410156","","","","37.499813079833984","37.499813079833984","37.499813079833984","","",""
"320","","","","38.924190521240234","38.924190521240234","38.924190521240234","","","","33.268402099609375","33.268402099609375","33.268402099609375","","","","28.079126358032227","28.079126358032227","28.079126358032227"
"323","26.372007369995117","26.372007369995117","26.372007369995117","","","","28.36200523376465","28.36200523376465","28.36200523376465","","","","38.9538688659668","38.9538688659668","38.9538688659668","","",""
"325","","","","34.6776008605957","34.6776008605957","34.6776008605957","","","","35.73081588745117","35.73081588745117","35.73081588745117","","","","28.60494613647461","28.60494613647461","28.60494613647461"
"328","26.40099334716797","26.40099334716797","26.40099334716797","","","","29.14558219909668","29.14558219909668","29.14558219909668","","","","35.33292007446289","35.33292007446289","35.33292007446289","","",""
